frame,person,box_confidence,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
5,1,0.52197266,1071.0,394.5,0.9838867,1074.0,391.0,0.97802734,1067.0,391.0,0.9814453,1080.0,390.5,0.74560547,1061.0,390.5,0.80810547,1088.0,407.5,0.99853516,1053.0,404.5,0.9980469,1103.0,428.0,0.9902344,1035.0,418.0,0.98583984,1099.0,453.0,0.98046875,1027.0,439.5,0.9741211,1082.0,457.5,0.9980469,1062.0,456.5,0.9980469,1079.0,499.0,0.99316406,1067.0,497.0,0.99316406,1078.0,539.0,0.97216797,1074.0,534.5,0.97216797
6,0,0.89208984,921.5,529.0,0.052520752,921.0,525.0,0.04321289,923.5,524.0,0.04611206,909.5,530.5,0.82373047,937.0,526.0,0.8125,896.0,564.0,0.99316406,958.5,551.0,0.9975586,886.5,606.0,0.9321289,996.5,560.0,0.9580078,907.5,599.5,0.65966797,977.5,566.0,0.77490234,916.0,651.0,0.9975586,954.5,645.0,0.9980469,913.0,716.0,0.9902344,951.5,699.0,0.9868164,920.0,792.0,0.9941406,951.0,764.0,0.9916992
6,1,0.5180664,1071.0,394.5,0.98339844,1074.0,390.5,0.97753906,1067.0,390.5,0.98046875,1080.0,390.5,0.7416992,1062.0,390.0,0.80371094,1088.0,407.0,0.99853516,1053.0,404.5,0.9980469,1103.0,428.0,0.9902344,1035.0,418.0,0.9863281,1099.0,453.0,0.97998047,1027.0,439.5,0.9741211,1082.0,457.5,0.9980469,1062.0,456.5,0.9980469,1079.0,499.0,0.9926758,1067.0,497.0,0.99316406,1078.0,538.5,0.9711914,1073.0,534.5,0.97216797
7,0,0.8930664,921.5,528.5,0.051940918,921.0,525.0,0.042877197,923.5,523.5,0.04525757,909.5,530.5,0.82470703,937.0,526.0,0.8100586,896.0,563.5,0.99316406,958.5,550.5,0.9970703,886.5,606.0,0.9301758,996.0,560.0,0.9584961,907.5,599.5,0.6591797,977.5,566.0,0.78271484,916.0,651.0,0.9970703,954.5,645.0,0.9980469,913.0,716.0,0.9902344,951.5,699.0,0.9868164,920.0,792.0,0.9941406,950.5,764.0,0.9916992
7,1,0.5283203,1071.0,394.5,0.98291016,1075.0,390.5,0.9765625,1067.0,390.5,0.97998047,1080.0,390.5,0.73828125,1062.0,390.0,0.80371094,1088.0,407.0,0.99853516,1053.0,404.5,0.9980469,1103.0,428.0,0.9902344,1035.0,418.0,0.98583984,1099.0,453.0,0.97998047,1027.0,439.5,0.9741211,1082.0,457.5,0.9980469,1062.0,456.5,0.9980469,1079.0,499.0,0.9926758,1067.0,497.0,0.99316406,1078.0,538.5,0.9716797,1073.0,534.5,0.97216797
8,0,0.8911133,921.5,529.0,0.051940918,921.0,525.5,0.04257202,923.5,524.0,0.045776367,909.5,530.5,0.82421875,937.0,526.5,0.8129883,895.5,563.5,0.99316406,959.0,551.0,0.9975586,885.0,605.0,0.9316406,997.0,560.5,0.9560547,908.0,599.5,0.6401367,976.0,565.5,0.74609375,915.5,651.0,0.9970703,954.5,645.0,0.9980469,913.0,716.0,0.9897461,951.5,699.0,0.98583984,919.5,792.0,0.9946289,950.5,764.0,0.9921875
8,1,0.51953125,1071.0,394.5,0.98291016,1074.0,390.5,0.9765625,1067.0,390.5,0.97998047,1080.0,390.5,0.73535156,1061.0,390.0,0.8022461,1088.0,407.0,0.99853516,1053.0,404.5,0.9980469,1103.0,428.0,0.9902344,1035.0,418.0,0.98583984,1099.0,453.0,0.9794922,1027.0,439.5,0.9736328,1082.0,457.5,0.9980469,1062.0,456.0,0.9980469,1079.0,499.0,0.9926758,1067.0,497.0,0.99316406,1078.0,539.0,0.9711914,1074.0,534.5,0.9716797
9,0,0.8876953,924.5,530.0,0.044677734,923.0,526.5,0.031433105,926.5,525.0,0.039855957,909.0,532.5,0.76953125,937.5,528.0,0.81152344,895.0,564.5,0.99365234,958.5,550.5,0.9970703,885.0,605.0,0.94677734,998.0,556.5,0.95947266,906.5,600.0,0.7167969,971.5,568.5,0.79345703,915.0,651.0,0.9970703,954.0,645.0,0.9980469,913.0,715.0,0.99072266,952.0,699.0,0.9863281,919.5,792.0,0.9941406,950.5,764.0,0.99121094
9,1,0.48046875,1071.0,394.5,0.9824219,1075.0,390.5,0.9760742,1067.0,390.5,0.9794922,1080.0,390.5,0.73583984,1062.0,390.0,0.8027344,1088.0,407.0,0.99853516,1053.0,404.0,0.9980469,1102.0,427.5,0.9902344,1036.0,418.0,0.98535156,1099.0,453.0,0.98046875,1027.0,439.0,0.97314453,1083.0,457.0,0.9980469,1062.0,456.0,0.9980469,1079.0,498.5,0.9926758,1067.0,496.5,0.9926758,1078.0,538.5,0.9707031,1073.0,534.0,0.97021484
10,0,0.87646484,924.5,530.5,0.034362793,922.5,527.5,0.0236969,927.0,526.0,0.027908325,908.5,533.5,0.7294922,938.0,529.0,0.76220703,895.5,565.5,0.99365234,958.0,552.0,0.99609375,885.0,605.0,0.953125,997.0,559.5,0.94677734,906.0,600.0,0.73095703,972.5,573.5,0.7363281,915.0,652.0,0.9975586,953.5,645.0,0.9975586,913.0,715.0,0.99121094,951.5,699.0,0.984375,920.0,791.0,0.9951172,950.0,764.0,0.9921875
